,image,ruler,sticker,ink
282,ISIC_0024588,0.0,0.0,0.0
283,ISIC_0024589,0.0,0.0,0.0
284,ISIC_0024590,0.0,0.0,0.0
285,ISIC_0024591,0.0,0.0,0.0
286,ISIC_0024592,1.0,0.0,0.0
287,ISIC_0024593,0.0,0.0,0.0
288,ISIC_0024594,0.0,0.0,0.0
289,ISIC_0024595,1.0,0.0,0.0
290,ISIC_0024596,0.0,0.0,0.0
291,ISIC_0024597,1.0,0.0,0.0
292,ISIC_0024598,0.0,0.0,0.0
293,ISIC_0024599,1.0,0.0,0.0
294,ISIC_0024600,0.0,0.0,0.0
295,ISIC_0024601,0.0,0.0,0.0
296,ISIC_0024602,0.0,0.0,0.0
297,ISIC_0024603,0.0,0.0,0.0
298,ISIC_0024604,0.0,0.0,0.0
299,ISIC_0024605,0.0,0.0,0.0
300,ISIC_0024606,0.0,0.0,0.0
301,ISIC_0024607,0.0,0.0,0.0
302,ISIC_0024608,0.0,0.0,0.0
303,ISIC_0024609,0.0,0.0,0.0
304,ISIC_0024610,0.0,0.0,0.0
305,ISIC_0024611,0.0,0.0,0.0
306,ISIC_0024612,0.0,0.0,0.0
307,ISIC_0024613,0.0,0.0,0.0
308,ISIC_0024614,0.0,0.0,0.0
309,ISIC_0024615,0.0,0.0,0.0
310,ISIC_0024616,0.0,0.0,0.0
311,ISIC_0024617,0.0,0.0,0.0
312,ISIC_0024618,0.0,0.0,0.0
313,ISIC_0024619,0.0,0.0,0.0
314,ISIC_0024620,0.0,0.0,0.0
315,ISIC_0024621,0.0,0.0,0.0
316,ISIC_0024622,0.0,0.0,0.0
317,ISIC_0024623,0.0,0.0,0.0
318,ISIC_0024624,1.0,0.0,0.0
319,ISIC_0024625,0.0,0.0,0.0
320,ISIC_0024626,0.0,0.0,0.0
321,ISIC_0024627,0.0,0.0,0.0
322,ISIC_0024628,0.0,0.0,0.0
323,ISIC_0024629,0.0,0.0,0.0
324,ISIC_0024630,1.0,0.0,0.0
325,ISIC_0024631,0.0,0.0,0.0
326,ISIC_0024632,1.0,0.0,0.0
327,ISIC_0024633,0.0,0.0,0.0
328,ISIC_0024634,1.0,0.0,0.0
329,ISIC_0024635,1.0,0.0,0.0
330,ISIC_0024636,0.0,0.0,0.0
331,ISIC_0024637,0.0,0.0,0.0
332,ISIC_0024638,0.0,0.0,0.0
333,ISIC_0024639,0.0,0.0,0.0
334,ISIC_0024640,0.0,0.0,0.0
335,ISIC_0024641,0.0,0.0,0.0
336,ISIC_0024642,1.0,0.0,0.0
337,ISIC_0024643,0.0,0.0,0.0
338,ISIC_0024644,1.0,0.0,0.0
339,ISIC_0024645,0.0,0.0,0.0
340,ISIC_0024646,0.0,0.0,0.0
341,ISIC_0024647,1.0,0.0,0.0
342,ISIC_0024648,0.0,0.0,0.0
343,ISIC_0024649,0.0,0.0,0.0
344,ISIC_0024650,0.0,0.0,0.0
345,ISIC_0024651,0.0,0.0,0.0
346,ISIC_0024652,1.0,0.0,0.0
347,ISIC_0024653,0.0,0.0,0.0
348,ISIC_0024654,1.0,0.0,0.0
349,ISIC_0024655,0.0,0.0,0.0
350,ISIC_0024656,0.0,0.0,0.0
351,ISIC_0024657,0.0,0.0,0.0
352,ISIC_0024658,0.0,0.0,0.0
353,ISIC_0024659,0.0,0.0,0.0
354,ISIC_0024660,0.0,0.0,0.0
355,ISIC_0024661,0.0,0.0,0.0
356,ISIC_0024662,0.0,0.0,0.0
357,ISIC_0024663,0.0,0.0,0.0
358,ISIC_0024664,0.0,0.0,0.0
359,ISIC_0024665,1.0,0.0,0.0
360,ISIC_0024666,0.0,0.0,0.0
361,ISIC_0024667,0.0,0.0,0.0
362,ISIC_0024668,0.0,0.0,0.0
363,ISIC_0024669,1.0,0.0,0.0
364,ISIC_0024670,0.0,0.0,0.0
365,ISIC_0024671,0.0,0.0,0.0
366,ISIC_0024672,0.0,0.0,0.0
367,ISIC_0024673,1.0,0.0,0.0
368,ISIC_0024674,0.0,0.0,0.0
369,ISIC_0024675,1.0,0.0,0.0
370,ISIC_0024676,1.0,0.0,0.0
371,ISIC_0024677,0.0,0.0,0.0
372,ISIC_0024678,0.0,0.0,0.0
373,ISIC_0024679,0.0,0.0,0.0
374,ISIC_0024680,0.0,0.0,0.0
375,ISIC_0024681,0.0,0.0,0.0
376,ISIC_0024682,0.0,0.0,0.0
377,ISIC_0024683,1.0,0.0,0.0
378,ISIC_0024684,1.0,0.0,0.0
379,ISIC_0024685,0.0,0.0,0.0
380,ISIC_0024686,0.0,0.0,0.0
381,ISIC_0024687,0.0,0.0,0.0
382,ISIC_0024688,0.0,0.0,0.0
383,ISIC_0024689,0.0,0.0,0.0
384,ISIC_0024690,0.0,0.0,0.0
385,ISIC_0024691,0.0,0.0,0.0
386,ISIC_0024692,0.0,0.0,0.0
387,ISIC_0024693,0.0,0.0,0.0
388,ISIC_0024694,0.0,0.0,0.0
389,ISIC_0024695,0.0,0.0,0.0
390,ISIC_0024696,0.0,0.0,0.0
391,ISIC_0024697,0.0,0.0,0.0
392,ISIC_0024698,0.0,0.0,0.0
393,ISIC_0024699,0.0,0.0,0.0
394,ISIC_0024700,0.0,0.0,0.0
395,ISIC_0024701,0.0,0.0,0.0
396,ISIC_0024702,1.0,0.0,0.0
397,ISIC_0024703,0.0,0.0,0.0
398,ISIC_0024704,0.0,0.0,0.0
399,ISIC_0024705,0.0,0.0,0.0
400,ISIC_0024706,0.0,0.0,0.0
401,ISIC_0024707,0.0,0.0,0.0
402,ISIC_0024708,0.0,0.0,0.0
403,ISIC_0024709,0.0,0.0,0.0
404,ISIC_0024710,0.0,0.0,0.0
405,ISIC_0024711,0.0,0.0,0.0
406,ISIC_0024712,1.0,0.0,0.0
407,ISIC_0024713,0.0,0.0,0.0
408,ISIC_0024714,0.0,0.0,0.0
409,ISIC_0024715,0.0,0.0,0.0
410,ISIC_0024716,1.0,0.0,0.0
411,ISIC_0024717,0.0,0.0,0.0
412,ISIC_0024718,0.0,0.0,0.0
413,ISIC_0024719,0.0,0.0,0.0
414,ISIC_0024720,0.0,0.0,0.0
415,ISIC_0024721,0.0,0.0,0.0
416,ISIC_0024722,0.0,0.0,0.0
417,ISIC_0024723,0.0,0.0,0.0
418,ISIC_0024724,0.0,0.0,0.0
419,ISIC_0024725,0.0,0.0,0.0
420,ISIC_0024726,0.0,0.0,0.0
421,ISIC_0024727,0.0,0.0,0.0
422,ISIC_0024728,0.0,0.0,0.0
423,ISIC_0024729,1.0,0.0,0.0
424,ISIC_0024730,1.0,0.0,0.0
425,ISIC_0024731,0.0,0.0,0.0
426,ISIC_0024732,0.0,0.0,0.0
427,ISIC_0024733,1.0,0.0,0.0
428,ISIC_0024734,0.0,0.0,0.0
429,ISIC_0024735,0.0,0.0,0.0
430,ISIC_0024736,0.0,0.0,0.0
431,ISIC_0024737,0.0,0.0,0.0
432,ISIC_0024738,0.0,0.0,0.0
433,ISIC_0024739,1.0,0.0,0.0
434,ISIC_0024740,0.0,0.0,0.0
435,ISIC_0024741,1.0,0.0,0.0
436,ISIC_0024742,0.0,0.0,0.0
437,ISIC_0024743,0.0,0.0,0.0
438,ISIC_0024744,0.0,0.0,0.0
439,ISIC_0024745,0.0,0.0,0.0
440,ISIC_0024746,0.0,0.0,0.0
441,ISIC_0024747,0.0,0.0,0.0
442,ISIC_0024748,0.0,0.0,0.0
443,ISIC_0024749,0.0,0.0,0.0
444,ISIC_0024750,0.0,0.0,0.0
445,ISIC_0024751,0.0,0.0,0.0
446,ISIC_0024752,1.0,0.0,0.0
447,ISIC_0024753,0.0,0.0,0.0
448,ISIC_0024754,0.0,0.0,0.0
449,ISIC_0024755,0.0,0.0,0.0
450,ISIC_0024756,1.0,0.0,0.0
451,ISIC_0024757,1.0,0.0,0.0
452,ISIC_0024758,0.0,0.0,0.0
453,ISIC_0024759,0.0,0.0,0.0
454,ISIC_0024760,0.0,0.0,0.0
455,ISIC_0024761,1.0,0.0,0.0
456,ISIC_0024762,1.0,0.0,0.0
457,ISIC_0024763,0.0,0.0,0.0
458,ISIC_0024764,0.0,0.0,0.0
459,ISIC_0024765,0.0,0.0,0.0
460,ISIC_0024766,0.0,0.0,0.0
461,ISIC_0024767,1.0,0.0,0.0
462,ISIC_0024768,0.0,0.0,0.0
463,ISIC_0024769,0.0,0.0,0.0
464,ISIC_0024770,1.0,0.0,0.0
465,ISIC_0024771,0.0,0.0,0.0
466,ISIC_0024772,0.0,0.0,0.0
467,ISIC_0024773,0.0,0.0,0.0
468,ISIC_0024774,0.0,0.0,0.0
469,ISIC_0024775,0.0,0.0,0.0
470,ISIC_0024776,0.0,0.0,0.0
471,ISIC_0024777,0.0,0.0,0.0
472,ISIC_0024778,0.0,0.0,0.0
473,ISIC_0024779,0.0,0.0,0.0
474,ISIC_0024780,0.0,0.0,0.0
475,ISIC_0024781,0.0,0.0,0.0
476,ISIC_0024782,0.0,0.0,0.0
477,ISIC_0024783,0.0,0.0,0.0
478,ISIC_0024784,0.0,0.0,0.0
479,ISIC_0024785,0.0,0.0,0.0
480,ISIC_0024786,0.0,0.0,0.0
481,ISIC_0024787,0.0,0.0,0.0
482,ISIC_0024788,0.0,0.0,0.0
483,ISIC_0024789,0.0,0.0,0.0
484,ISIC_0024790,0.0,0.0,0.0
485,ISIC_0024791,0.0,0.0,0.0
486,ISIC_0024792,0.0,0.0,0.0
487,ISIC_0024793,0.0,0.0,0.0
488,ISIC_0024794,0.0,0.0,0.0
489,ISIC_0024795,0.0,0.0,0.0
490,ISIC_0024796,0.0,0.0,0.0
491,ISIC_0024797,0.0,0.0,0.0
492,ISIC_0024798,1.0,0.0,0.0
493,ISIC_0024799,0.0,0.0,0.0
494,ISIC_0024800,0.0,0.0,0.0
495,ISIC_0024801,0.0,0.0,0.0
496,ISIC_0024802,0.0,0.0,0.0
497,ISIC_0024803,0.0,0.0,0.0
498,ISIC_0024804,0.0,0.0,0.0
499,ISIC_0024805,0.0,0.0,0.0
500,ISIC_0024806,1.0,0.0,0.0
501,ISIC_0024807,0.0,0.0,0.0
502,ISIC_0024808,1.0,0.0,0.0
503,ISIC_0024809,0.0,0.0,0.0
504,ISIC_0024810,0.0,0.0,0.0
505,ISIC_0024811,0.0,0.0,0.0
506,ISIC_0024812,0.0,0.0,0.0
507,ISIC_0024813,0.0,0.0,0.0
508,ISIC_0024814,0.0,0.0,0.0
509,ISIC_0024815,0.0,0.0,0.0
510,ISIC_0024816,0.0,0.0,0.0
511,ISIC_0024817,0.0,0.0,0.0
512,ISIC_0024818,1.0,0.0,0.0
513,ISIC_0024819,0.0,0.0,0.0
514,ISIC_0024820,0.0,0.0,0.0
515,ISIC_0024821,1.0,0.0,0.0
516,ISIC_0024822,0.0,0.0,0.0
517,ISIC_0024823,0.0,0.0,0.0
518,ISIC_0024824,0.0,0.0,0.0
519,ISIC_0024825,1.0,0.0,0.0
520,ISIC_0024826,0.0,0.0,0.0
521,ISIC_0024827,1.0,0.0,0.0
522,ISIC_0024828,0.0,0.0,0.0
523,ISIC_0024829,1.0,0.0,0.0
524,ISIC_0024830,0.0,0.0,0.0
525,ISIC_0024831,1.0,0.0,0.0
526,ISIC_0024832,1.0,0.0,0.0
527,ISIC_0024833,1.0,0.0,0.0
528,ISIC_0024834,0.0,0.0,0.0
529,ISIC_0024835,0.0,0.0,0.0
530,ISIC_0024836,0.0,0.0,0.0
531,ISIC_0024837,0.0,0.0,0.0
532,ISIC_0024838,0.0,0.0,0.0
533,ISIC_0024839,1.0,0.0,0.0
534,ISIC_0024840,0.0,0.0,0.0
535,ISIC_0024841,1.0,0.0,0.0
536,ISIC_0024842,0.0,0.0,0.0
537,ISIC_0024843,0.0,0.0,0.0
538,ISIC_0024844,0.0,0.0,0.0
539,ISIC_0024845,0.0,0.0,0.0
540,ISIC_0024846,0.0,0.0,0.0
541,ISIC_0024847,0.0,0.0,0.0
542,ISIC_0024848,0.0,0.0,0.0
543,ISIC_0024849,0.0,0.0,0.0
544,ISIC_0024850,0.0,0.0,0.0
545,ISIC_0024851,1.0,0.0,0.0
546,ISIC_0024852,0.0,0.0,0.0
547,ISIC_0024853,0.0,0.0,0.0
548,ISIC_0024854,0.0,0.0,0.0
549,ISIC_0024855,0.0,0.0,0.0
550,ISIC_0024856,0.0,0.0,0.0
551,ISIC_0024857,0.0,0.0,0.0
552,ISIC_0024858,0.0,0.0,0.0
553,ISIC_0024859,0.0,0.0,0.0
554,ISIC_0024860,0.0,0.0,0.0
555,ISIC_0024861,0.0,0.0,0.0
556,ISIC_0024862,1.0,0.0,0.0
557,ISIC_0024863,0.0,0.0,0.0
558,ISIC_0024864,0.0,0.0,0.0
559,ISIC_0024865,1.0,0.0,0.0
560,ISIC_0024866,0.0,0.0,0.0
561,ISIC_0024867,0.0,0.0,0.0
562,ISIC_0024868,0.0,0.0,0.0
563,ISIC_0024869,0.0,0.0,0.0
564,ISIC_0024870,0.0,0.0,0.0
565,ISIC_0024871,1.0,0.0,0.0
566,ISIC_0024872,0.0,0.0,0.0
567,ISIC_0024873,0.0,0.0,0.0
568,ISIC_0024874,0.0,0.0,0.0
569,ISIC_0024875,1.0,0.0,0.0
570,ISIC_0024876,1.0,0.0,0.0
571,ISIC_0024877,0.0,0.0,0.0
572,ISIC_0024878,0.0,0.0,0.0
573,ISIC_0024879,0.0,0.0,0.0
574,ISIC_0024880,0.0,0.0,0.0
575,ISIC_0024881,0.0,0.0,0.0
576,ISIC_0024882,0.0,0.0,0.0
577,ISIC_0024883,0.0,0.0,0.0
578,ISIC_0024884,0.0,0.0,0.0
579,ISIC_0024885,0.0,0.0,0.0
580,ISIC_0024886,0.0,0.0,0.0
581,ISIC_0024887,0.0,0.0,0.0
582,ISIC_0024888,0.0,0.0,0.0
583,ISIC_0024889,0.0,0.0,0.0
584,ISIC_0024890,0.0,0.0,0.0
585,ISIC_0024891,0.0,0.0,0.0
586,ISIC_0024892,0.0,0.0,0.0
587,ISIC_0024893,0.0,0.0,0.0
588,ISIC_0024894,0.0,0.0,0.0
589,ISIC_0024895,0.0,0.0,0.0
590,ISIC_0024896,0.0,0.0,0.0
591,ISIC_0024897,0.0,0.0,0.0
592,ISIC_0024898,0.0,0.0,0.0
593,ISIC_0024899,1.0,0.0,0.0
594,ISIC_0024900,1.0,0.0,0.0
595,ISIC_0024901,0.0,0.0,0.0
596,ISIC_0024902,1.0,0.0,0.0
597,ISIC_0024903,0.0,0.0,0.0
598,ISIC_0024904,0.0,0.0,0.0
599,ISIC_0024905,0.0,0.0,0.0
600,ISIC_0024906,0.0,0.0,0.0
601,ISIC_0024907,0.0,0.0,1.0
602,ISIC_0024908,1.0,0.0,0.0
603,ISIC_0024909,1.0,0.0,0.0
604,ISIC_0024910,1.0,0.0,0.0
605,ISIC_0024911,1.0,0.0,0.0
606,ISIC_0024912,0.0,0.0,0.0
